input_id,title_maps,address_maps,IDSBR_best,nama_bps_best,alamat_bps_best,score_jw,label
fdcad962-6fca-420e-8b7a-9c817481916c,nwn thrift,"Jl. Monumen Emmy Saelan No.248, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97476345,warnet hidayat,buakana,0.71,unmatch
fdcad962-6fca-420e-8b7a-9c817481916c,kaospolosmks_id,"Jl. Tamalate II No.22, Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90224",2725915,alpromosindo,"jl tamalate i no 26 rt 002 rw 002, kassi-kassi",0.7,unmatch
27c03bcd-162d-4582-a9dd-60d70fedef1b,warung solo pelita raya,"RCWM+9HH Warung Solo Pelita Raya, Jl. Pelita V, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97452374,warung sop ubi(taty azwati),tidung 7,0.87,unmatch
27c03bcd-162d-4582-a9dd-60d70fedef1b,warung wahyu solo,"Jl. Monumen Emmy Saelan No.34, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",5727360,warung wahyu solo <slamet>,jalan monumen emmy saelan no 36,0.93,match
fdcad962-6fca-420e-8b7a-9c817481916c,riska alwi olshop,"RFH6+4FC riska alwi olshop, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90233",6592974,irwan workshop,"minasa upa j 10, 10",0.75,unmatch
27c03bcd-162d-4582-a9dd-60d70fedef1b,warung raos,"Jl. Andi Djemma No.71, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",5727380,warung bakso roni,jipang raya,0.91,unmatch
fdcad962-6fca-420e-8b7a-9c817481916c,ligastore and production,"Jl. Yusuf Daeng Ngawing No.9B, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3579651,indtim duabelas corporindo,jl btn minasa upa,0.77,unmatch
fdcad962-6fca-420e-8b7a-9c817481916c,kaos polos y&s makassar,"Jl. Rappocini Raya No.36B, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3532554,teras sunnah makassar,talasalapang 2,0.7,unmatch
fdcad962-6fca-420e-8b7a-9c817481916c,diana collection,"Jl. Rappocini Raya No.12, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97478703,iva collection,jl tidung 9 stp 18 no 182,0.91,unmatch
fdcad962-6fca-420e-8b7a-9c817481916c,khafi collection,"Jl. Setapak 36 No.125, Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97490261,ukail colection,btn minasa upa n2 no 19,0.89,unmatch
