IDSBR,Nama Usaha,Alamat,Kode Wilayah,kode_kecamatan,alamat
3604316,sulawesi bumi gemilang,jl. bumi raya blok b.1 no. 4 bph,7371031001,7371031,jl. bumi raya blok b.1 no. 4 bph
3604845,minang bangun konstruksi,jl wijaya kusuma i blok,7371031007,7371031,jl wijaya kusuma i blok
3605077,cv aza utama jaya,pelita raya ii perum. pelita mas regency,7371031008,7371031,pelita raya ii perum. pelita mas regency
3607106,cv. vinara indah pesona,jalan tidung viii setapak 11,7371031003,7371031,jalan tidung viii setapak 11
3607346,baji tuju,jl karunrung raya,7371031002,7371031,jl karunrung raya
3607482,laela jaya,"jl banta-bantaeng lr 6 no 11 rt.001 rw.004, banta-bantaeng",7371031007,7371031,"jl banta-bantaeng lr 6 no 11 rt.001 rw.004, banta-bantaeng"
3607496,wahyu global,jl rsi faisal 14,7371031007,7371031,jl rsi faisal 14
3608036,yasin cahaya berlian,jl aroepala,7371031001,7371031,jl aroepala
3609090,cv. charisma jaya,"jl talasalapang kompleks ruko talasalapang square no 9 rt 006 rw 020, karunrung",7371031002,7371031,"jl talasalapang kompleks ruko talasalapang square no 9 rt 006 rw 020, karunrung"
3610494,mina,"btn minasa upa blok m1 no 6 rt 001 rw 009, gunung sari",7371031001,7371031,"btn minasa upa blok m1 no 6 rt 001 rw 009, gunung sari"
3610583,amalia sakti,jl hertasning,7371031006,7371031,jl hertasning
3610903,dharma wanita persatuan kota makassar,jl anggrek raya,7371031006,7371031,jl anggrek raya
3611378,koperasi surya abadi,"komplek grand permai blok a/3 skarda'n rt.005 rw.016, gunung sari",7371031001,7371031,"komplek grand permai blok a/3 skarda'n rt.005 rw.016, gunung sari"
3612650,solution,"jl.ap pettarani no.2, gunung sari",7371031001,7371031,"jl.ap pettarani no.2, gunung sari"
3614070,hadi putra bersaudara,jl bumi 18,7371031001,7371031,jl bumi 18
3615182,multi global solusindo,btn.minasaupa,7371031001,7371031,btn.minasaupa
3615609,asjiah rezky utama,jl btn minasa upa,7371031,7371031,jl btn minasa upa
3615823,jaya mandiri,jl tanmalate 2,7371031003,7371031,jl tanmalate 2
3617454,karya bersama pratama,jl rsi faisal vii,7371031007,7371031,jl rsi faisal vii
3619178,alsa phinisi permata,"jl.syech yusuf btn minasa upa blok d4 no.16, gunung sari",7371031001,7371031,"jl.syech yusuf btn minasa upa blok d4 no.16, gunung sari"
3620029,rurin jaya abadi,jl pengayoman perum taman permata sari i,7371031008,7371031,jl pengayoman perum taman permata sari i
3620263,ayunda putri mandiri,perumahan btn minasa upa,7371031001,7371031,perumahan btn minasa upa
3620329,adhe karya persada,komp anging mamiri recidence,7371031002,7371031,komp anging mamiri recidence
3621872,amanda persada sulawesi selatan,"perumahan taman yasmin blok e2/3 rt.002 rw.013, mappala",7371031003,7371031,"perumahan taman yasmin blok e2/3 rt.002 rw.013, mappala"
3622469,tiga intan abadi,jl ap pettarani komp pemda,7371031006,7371031,jl ap pettarani komp pemda
3622476,zan-zan,perumahan bosowa permai blok,7371031001,7371031,perumahan bosowa permai blok
3623585,yayasan nuriftitah,"jl tidung 9 stp 3 no 94 rt 001 rw 011, mappala",7371031003,7371031,"jl tidung 9 stp 3 no 94 rt 001 rw 011, mappala"
3623697,cv refi pratama,jl. aroepala komp anging mamiri,7371031002,7371031,jl. aroepala komp anging mamiri
3624633,rezky talisa,anging mamiri residence,7371031002,7371031,anging mamiri residence
3624894,aditya perdana sakti,jl rappocini raya lr. 5c,7371031009,7371031,jl rappocini raya lr. 5c
3626917,rachmat,perumahan jipang permai,7371031002,7371031,perumahan jipang permai
3627228,marken mahkota jaya,jl andi djemma,7371031007,7371031,jl andi djemma
3628950,mallomo jaya abadi,jl jipang raya,7371031001,7371031,jl jipang raya
3629631,noor ciptadana pratama,"jl.ap pettarani blok e 20/12 rt.000 rw.000, tidung",7371031006,7371031,"jl.ap pettarani blok e 20/12 rt.000 rw.000, tidung"
